"","Rank","Name","Age"
"1",17,"Julia Flesher Koch & family",60
"2",26,"Phil Knight & family",84
"3",29,"John Mars",87
"4",37,"Zeng Yuqun",54
"5",38,"Giovanni Ferrero & family",58
"6",46,"He Xiangjian",80
"7",69,"Stefan Persson",75
"8",73,"Li Shu Fu",59
"9",79,"Ken Griffin",54
"10",80,"Iris Fontbona & family",80
"11",87,"Wang Wei",52
"12",90,"Ernesto Bertarelli & family",57
"13",99,"Thomas Frist",84
"14",101,"Thomas Struengmann",72
"15",104,"John Menard",82
"16",108,"Sara Mota de Larrea & family",69
"17",111,"Gustaf Douglas & family",84
"18",119,"Andrey Melnichenko",50
"19",125,"Ned Johnson III",92
"20",130,"Wu Shaoxun",66
"21",133,"Ricardo Salinas",67
"22",140,"Jorge Moll & family",76
"23",141,"Jim Goodnight",79
"24",150,"Wang Wenyin",54
"25",158,"Alejandro Santo Domingo & family",45
"26",160,"Jim Davis",77
"27",161,"Wei Jianjun",58
"28",162,"Hugh Grosvenor",31
"29",164,"Cen Junda",58
"30",168,"Lee Jae-Yong & family",54
"31",169,"Paolo Rocca & family",70
"32",170,"Su Hua",40
"33",171,"Sherry Brydson",50
"34",172,"Chen Zhiping",46
"35",173,"Charles Schwab",85
"36",179,"Ding Shizhong",51
"37",183,"Heinrich Deichmann & family",59
"38",184,"Leng You-Bin",53
"39",186,"Ding Shijia",58
"40",190,"Carl Cook",59
"41",197,"Liu Yongxing",74
"42",204,"Brian Kim",46
"43",208,"Carlos Sicupira",74
"44",209,"David Sun",71
"45",213,"Anders Holch Povlsen & family",49
"46",214,"Qian Dongqi",64
"47",215,"Zhao Yan",55
"48",219,"Steve Cohen",66
"49",221,"Michael Otto",79
"50",224,"Mat Ishbia",42
"51",233,"Michael Platt",53
"52",234,"Johann Rupert & family",72
"53",235,"Liu Yonghao",71
"54",237,"Reinhold Schmieding",67
"55",241,"Jim Kennedy",74
"56",242,"Cheng Yixiao",38
"57",244,"Tito Beveridge",60
"58",247,"Liu Jincheng",58
"59",250,"Anthony Pratt",62
"60",252,"Pei Zhenhua",63
"61",253,"George Roberts",78
"62",254,"Yao Liangsong",58
"63",256,"Lin Bin",61
"64",257,"Sarath Ratanavadi",57
"65",259,"Shu Ping",52
"66",263,"Niels Louis-Hansen",75
"67",265,"Zhang Yong",51
"68",267,"August von Finck",92
"69",275,"Cheng Xue",52
"70",276,"Anthony Bamford & family",77
"71",277,"Tim Sweeney",52
"72",278,"Lu Zhongfang",79
"73",281,"Cai Kui",59
"74",285,"Iskandar Makhmudov",58
"75",286,"Benu Bangur",91
"76",287,"Stephen Ross",82
"77",292,"Anthony von Mandl",72
"78",294,"Juan Beckmann Vidal & family",82
"79",297,"Theo Albrecht Jr",72
"80",298,"Brian Armstrong",39
"81",308,"James Pattison",94
"82",309,"Martin Viessmann & family",68
"83",310,"Robert Smith",59
"84",312,"Ned Johnson IV",57
"85",313,"Elizabeth Johnson",80
"86",314,"German Larrea",81
"87",316,"Marie-Helene Habert-Dassault",57
"88",317,"Thierry Dassault",65
"89",320,"Yu Renrong",56
"90",323,"Magdalena Martullo",53
"91",324,"Ruan Liping",58
"92",325,"Jian Jun",59
"93",326,"Ruan Xueping",50
"94",331,"Gang Ye",42
"95",332,"Kei Hoi Pang",56
"96",333,"Bob Rich",81
"97",334,"Rahel Blocher",46
"98",335,"Daniel Dines",50
"99",336,"Wang Laisheng",57
"100",341,"Lv Xiang-yang",60
"101",343,"Taylor Thomson",62
"102",344,"Peter Thomson",74
"103",345,"David Thomson",65
"104",348,"Kim Jung-Ju",54
"105",350,"Geoffrey Kwok",37
"106",352,"Tammy Gustavson",61
"107",355,"Mohammed Al Amoudi",76
"108",359,"Ray Hunt",79
"109",361,"Leaf Hua Li",44
"110",362,"Charles Cadogan",85
"111",367,"Andrew Currie",65
"112",370,"Frederik Paulsen",72
"113",371,"Chu Mang Yee",62
"114",376,"Li Shuirong",66
"115",381,"Mohamed Al Jaber",63
"116",384,"Pauline Keinath",88
"117",389,"Bin Li",54
"118",391,"David Shaw",71
"119",396,"Kenneth Dart",67
"120",401,"Scott Duncan",39
"121",405,"Liu Hanyuan",58
"122",408,"Tan Kim Choo",64
"123",409,"Josh Harris",57
"124",410,"Jean-Pierre Cayard",79
"125",413,"Andre Hoffmann",64
"126",414,"Lai Meisong",51
"127",417,"Katharine Rayner",77
"128",418,"Jean-Michel Besnier",55
"129",420,"Joe Lewis",85
"130",421,"Peter-Alexander Wacker & family",71
"131",425,"Natie Kirsh",90
"132",426,"J K Irving",94
"133",427,"Alain Merieux",84
"134",428,"Simon Reuben",81
"135",429,"David Reuben",78
"136",431,"Wong Man Li",57
"137",432,"Finn Rausing",67
"138",436,"Anthony Wood",57
"139",440,"Udo Tschira",46
"140",441,"Harald Tschira",49
"141",442,"Horst Pudwill",77
"142",443,"Li Ping",57
"143",448,"Maja Hoffmann",66
"144",450,"Yasumitsu Shigeta",57
"145",451,"Ashwin Dani & family",78
"146",452,"Michael Herz & family",79
"147",453,"Wolfgang Herz & family",72
"148",454,"Mahendra Choksi & family",74
"149",457,"Charles Butt & family",84
"150",460,"Linda Campbell",72
"151",461,"Gaye Farncombe",70
"152",469,"Tom Morris",68
"153",471,"Bubba Cathy",69
"154",473,"Leonard Stern",84
"155",475,"Abhay Vakil & family",71
"156",477,"Vivien Chen",48
"157",483,"Charles Johnson",89
"158",484,"Li Jianquan",65
"159",487,"Eric Smidt",62
"160",488,"Ann Kroenke",73
"161",489,"Charles Dolan & family",96
"162",490,"Pan Dong",57
"163",494,"Wang Ning",67
"164",500,"Kwon Hyuk-Bin",49
